FIR_ID,Year,Date,Time,Time_of_Day,Day_of_Week,Month,Police_Station,Street,Latitude,Longitude,Location_Type,Hotspot_Flag,Crime_Type,Crime_Category,Victim_Age,Victim_Gender,Victim_Occupation,Weapon_Used,Festival_Day,Festival_Name,Holiday,Holiday_Name,Arrest_Made,Case_Status,Case_Success,Case_Filed_Date,Case_Closed_Date,Investigation_Days
2021_FIR0025,2021,2021-02-21,3:00,Midnight,Sunday,2,Karol Bagh PS,Chandni Chowk Lane 4,28.6562,77.23,Market,1,Theft,Property,18,Male,Unemployed,Yes,No,None,No,None,Yes,Closed,1,2021-02-22,2021-04-03,40
2021_FIR0026,2021,2021-11-04,4:00,Midnight,Thursday,11,Rohini PS,Rohini Sector 7 Street,28.7324,77.1194,Market,1,Burglary,Property,32,Female,Government Employee,Yes,Yes,Diwali,No,None,Yes,Closed,1,2021-11-05,2021-12-17,42
2021_FIR0027,2021,2021-01-01,8:00,Morning,Friday,1,Saket PS,Chandni Chowk Lane 4,28.6562,77.23,Metro Station,0,Cybercrime,Cyber,22,Female,Student,Yes,No,None,No,None,No,Open,0,2021-01-03,,
2021_FIR0028,2021,2021-12-22,8:00,Morning,Wednesday,12,Karol Bagh PS,Chandni Chowk Lane 4,28.6562,77.23,Road,1,Robbery,Property,57,Male,Driver,No,No,None,No,None,Yes,Closed,1,2021-12-23,2021-12-31,8
2021_FIR0029,2021,2021-06-08,2:00,Midnight,Tuesday,6,Dwarka PS,Connaught Place Inner Circle,28.6315,77.2167,Metro Station,1,Burglary,Property,18,Male,Unemployed,No,No,None,No,None,No,Open,0,2021-06-08,,
2021_FIR0030,2021,2021-12-22,7:00,Morning,Wednesday,12,Dwarka PS,Chandni Chowk Lane 4,28.6562,77.23,Metro Station,0,Snatching,Property,37,Male,Private Employee,Yes,No,None,No,None,No,Open,0,2021-12-22,,
2021_FIR0031,2021,2021-08-13,1:00,Midnight,Friday,8,Dwarka PS,Saket Mall Road,28.5245,77.2066,Metro Station,1,Robbery,Property,69,Female,Retired,No,No,None,No,None,Yes,Closed,1,2021-08-13,2021-11-05,84
2021_FIR0032,2021,2021-05-14,9:00,Morning,Friday,5,Connaught Place PS,Karol Bagh Main Road,28.6519,77.1909,Market,0,Theft,Property,36,Female,Business Owner,Yes,No,None,No,None,No,Under Investigation,0,2021-05-15,,
2021_FIR0033,2021,2021-10-05,20:00,Dusk,Tuesday,10,Chandni Chowk PS,Saket Mall Road,28.5245,77.2066,Metro Station,0,Cybercrime,Cyber,21,Male,Unemployed,No,No,None,No,None,No,Under Investigation,0,2021-10-05,,
2021_FIR0034,2021,2021-09-28,5:00,Morning,Tuesday,9,Karol Bagh PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Kidnapping,Violent,20,Male,Student,No,No,None,No,None,No,Open,0,2021-09-30,,
2021_FIR0035,2021,2021-03-17,3:00,Midnight,Wednesday,3,Rohini PS,Connaught Place Inner Circle,28.6315,77.2167,Metro Station,1,Theft,Property,40,Female,Business Owner,No,No,None,No,None,No,Under Investigation,0,2021-03-19,,
2021_FIR0036,2021,2021-05-12,2:00,Midnight,Wednesday,5,Rohini PS,Dwarka Sector 12 Road,28.5921,77.046,Market,1,Robbery,Property,37,Female,Government Employee,No,No,None,No,None,Yes,Closed,1,2021-05-14,2021-05-31,17
2021_FIR0037,2021,2021-12-04,17:00,Evening,Saturday,12,Lajpat Nagar PS,Connaught Place Inner Circle,28.6315,77.2167,Metro Station,0,Theft,Property,55,Female,Business Owner,No,No,None,No,None,No,Under Investigation,0,2021-12-06,,
2021_FIR0038,2021,2021-06-01,2:00,Midnight,Tuesday,6,Connaught Place PS,Saket Mall Road,28.5245,77.2066,Residential,0,Kidnapping,Violent,53,Female,Driver,No,No,None,No,None,No,Open,0,2021-06-02,,
2021_FIR0039,2021,2021-07-08,8:00,Morning,Thursday,7,Dwarka PS,Dwarka Sector 12 Road,28.5921,77.046,Market,1,Cybercrime,Cyber,34,Male,Daily Wage Worker,No,No,None,No,None,No,Under Investigation,0,2021-07-09,,
2021_FIR0040,2021,2021-12-18,4:00,Midnight,Saturday,12,Dwarka PS,Connaught Place Inner Circle,28.6315,77.2167,Road,1,Cybercrime,Cyber,13,Male,Student,No,No,None,No,None,Yes,Closed,1,2021-12-19,2022-01-19,31
2021_FIR0041,2021,2021-12-18,23:00,Night,Saturday,12,Lajpat Nagar PS,Saket Mall Road,28.5245,77.2066,Road,0,Kidnapping,Violent,5,Female,Student,No,No,None,No,None,Yes,Closed,1,2021-12-19,2022-03-08,79
2021_FIR0042,2021,2021-10-21,19:00,Dusk,Thursday,10,Chandni Chowk PS,Dwarka Sector 12 Road,28.5921,77.046,Residential,0,Theft,Property,12,Male,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-10-23,,
2021_FIR0043,2021,2021-01-10,7:00,Morning,Sunday,1,Connaught Place PS,Chandni Chowk Lane 4,28.6562,77.23,Market,1,Theft,Property,61,Female,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-01-10,,
2021_FIR0044,2021,2021-06-05,14:00,Afternoon,Saturday,6,Dwarka PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,1,Cybercrime,Cyber,56,Male,Private Employee,Yes,No,None,No,None,No,Open,0,2021-06-07,,
2021_FIR0045,2021,2021-05-09,4:00,Midnight,Sunday,5,Chandni Chowk PS,Chandni Chowk Lane 4,28.6562,77.23,Market,1,Burglary,Property,34,Male,Daily Wage Worker,Yes,No,None,No,None,Yes,Closed,1,2021-05-09,2021-07-08,60
2021_FIR0046,2021,2021-09-20,5:00,Morning,Monday,9,Connaught Place PS,Saket Mall Road,28.5245,77.2066,Residential,0,Cybercrime,Cyber,12,Female,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-09-22,,
2021_FIR0047,2021,2021-01-09,17:00,Evening,Saturday,1,Connaught Place PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Snatching,Property,66,Female,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-01-10,2021-01-25,15
2021_FIR0048,2021,2021-10-16,18:00,Evening,Saturday,10,Rohini PS,Saket Mall Road,28.5245,77.2066,Road,1,Assault,Violent,40,Female,IT Professional,No,No,None,No,None,Yes,Closed,1,2021-10-18,2021-12-03,46
2021_FIR0049,2021,2021-05-26,20:00,Dusk,Wednesday,5,Rohini PS,Karol Bagh Main Road,28.6519,77.1909,Market,0,Robbery,Property,26,Male,IT Professional,Yes,No,None,No,None,Yes,Closed,1,2021-05-28,2021-07-04,37
2021_FIR0050,2021,2021-06-06,21:00,Night,Sunday,6,Chandni Chowk PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,0,Snatching,Property,31,Female,Government Employee,Yes,No,None,No,None,No,Open,0,2021-06-08,,
2021_FIR0051,2021,2021-02-24,15:00,Afternoon,Wednesday,2,Rohini PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Kidnapping,Violent,49,Female,Private Employee,No,No,None,No,None,Yes,Closed,1,2021-02-25,2021-05-09,73
2021_FIR0052,2021,2021-09-22,6:00,Morning,Wednesday,9,Lajpat Nagar PS,Karol Bagh Main Road,28.6519,77.1909,Metro Station,1,Burglary,Property,6,Male,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-09-22,,
2021_FIR0053,2021,2021-08-05,7:00,Morning,Thursday,8,Dwarka PS,Connaught Place Inner Circle,28.6315,77.2167,Market,0,Theft,Property,49,Male,IT Professional,Yes,No,None,No,None,No,Open,0,2021-08-05,,
2021_FIR0054,2021,2021-07-20,7:00,Morning,Tuesday,7,Saket PS,Saket Mall Road,28.5245,77.2066,Road,1,Burglary,Property,30,Male,Daily Wage Worker,Yes,No,None,No,None,Yes,Closed,1,2021-07-20,2021-09-11,53
2021_FIR0055,2021,2021-10-03,2:00,Midnight,Sunday,10,Connaught Place PS,Connaught Place Inner Circle,28.6315,77.2167,Residential,0,Cybercrime,Cyber,31,Female,Business Owner,Yes,No,None,No,None,No,Under Investigation,0,2021-10-05,,
2021_FIR0056,2021,2021-08-28,4:00,Midnight,Saturday,8,Chandni Chowk PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,0,Cybercrime,Cyber,41,Male,Private Employee,Yes,No,None,No,None,No,Under Investigation,0,2021-08-29,,
2021_FIR0057,2021,2021-06-22,22:00,Night,Tuesday,6,Karol Bagh PS,Connaught Place Inner Circle,28.6315,77.2167,Metro Station,1,Assault,Violent,37,Male,IT Professional,Yes,No,None,No,None,Yes,Closed,1,2021-06-24,2021-07-04,10
2021_FIR0058,2021,2021-01-22,2:00,Midnight,Friday,1,Lajpat Nagar PS,Karol Bagh Main Road,28.6519,77.1909,Market,1,Burglary,Property,76,Male,Retired,No,No,None,No,None,No,Open,0,2021-01-22,,
2021_FIR0059,2021,2021-11-17,23:00,Night,Wednesday,11,Lajpat Nagar PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Kidnapping,Violent,67,Male,Retired,No,No,None,No,None,No,Open,0,2021-11-19,,
2021_FIR0060,2021,2021-04-03,19:00,Dusk,Saturday,4,Chandni Chowk PS,Saket Mall Road,28.5245,77.2066,Residential,1,Cybercrime,Cyber,22,Female,Student,No,No,None,No,None,No,Under Investigation,0,2021-04-05,,
2021_FIR0061,2021,2021-12-29,13:00,Afternoon,Wednesday,12,Connaught Place PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,1,Cybercrime,Cyber,74,Female,Retired,Yes,No,None,No,None,No,Open,0,2021-12-30,,
2021_FIR0062,2021,2021-10-20,22:00,Night,Wednesday,10,Rohini PS,Connaught Place Inner Circle,28.6315,77.2167,Market,1,Burglary,Property,72,Male,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-10-21,,
2021_FIR0063,2021,2021-11-25,17:00,Evening,Thursday,11,Karol Bagh PS,Chandni Chowk Lane 4,28.6562,77.23,Residential,0,Cybercrime,Cyber,62,Female,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-11-26,2021-12-07,11
2021_FIR0064,2021,2021-10-03,16:00,Evening,Sunday,10,Karol Bagh PS,Chandni Chowk Lane 4,28.6562,77.23,Road,1,Theft,Property,45,Female,Shopkeeper,Yes,No,None,No,None,No,Under Investigation,0,2021-10-03,,
2021_FIR0065,2021,2021-06-23,6:00,Morning,Wednesday,6,Karol Bagh PS,Karol Bagh Main Road,28.6519,77.1909,Residential,1,Burglary,Property,63,Female,Retired,Yes,No,None,No,None,No,Open,0,2021-06-24,,
2021_FIR0066,2021,2021-01-15,19:00,Dusk,Friday,1,Rohini PS,Dwarka Sector 12 Road,28.5921,77.046,Market,0,Snatching,Property,48,Male,Daily Wage Worker,No,No,None,No,None,Yes,Closed,1,2021-01-17,2021-03-14,56
2021_FIR0067,2021,2021-05-17,7:00,Morning,Monday,5,Saket PS,Connaught Place Inner Circle,28.6315,77.2167,Road,0,Assault,Violent,59,Female,IT Professional,Yes,No,None,No,None,Yes,Closed,1,2021-05-18,2021-07-22,65
2021_FIR0068,2021,2021-12-14,10:00,Morning,Tuesday,12,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Road,0,Kidnapping,Violent,70,Male,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-12-14,,
2021_FIR0069,2021,2021-05-07,5:00,Morning,Friday,5,Connaught Place PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Theft,Property,38,Female,Daily Wage Worker,Yes,No,None,No,None,No,Open,0,2021-05-08,,
2021_FIR0070,2021,2021-06-22,20:00,Dusk,Tuesday,6,Connaught Place PS,Lajpat Nagar Central Market,28.5677,77.2435,Market,0,Burglary,Property,47,Female,IT Professional,Yes,No,None,No,None,No,Under Investigation,0,2021-06-22,,
2021_FIR0071,2021,2021-09-04,4:00,Midnight,Saturday,9,Karol Bagh PS,Saket Mall Road,28.5245,77.2066,Residential,1,Cybercrime,Cyber,60,Female,Daily Wage Worker,Yes,No,None,No,None,Yes,Closed,1,2021-09-05,2021-11-09,65
2021_FIR0072,2021,2021-08-03,6:00,Morning,Tuesday,8,Rohini PS,Karol Bagh Main Road,28.6519,77.1909,Market,0,Burglary,Property,74,Female,Retired,No,No,None,No,None,Yes,Closed,1,2021-08-04,2021-10-03,60
2021_FIR0073,2021,2021-09-10,22:00,Night,Friday,9,Dwarka PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Cybercrime,Cyber,17,Female,Student,Yes,No,None,No,None,Yes,Closed,1,2021-09-12,2021-11-24,73
2021_FIR0074,2021,2021-06-09,1:00,Midnight,Wednesday,6,Rohini PS,Karol Bagh Main Road,28.6519,77.1909,Residential,0,Kidnapping,Violent,15,Female,Student,No,No,None,No,None,No,Open,0,2021-06-10,,
2021_FIR0075,2021,2021-06-20,10:00,Morning,Sunday,6,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Market,0,Theft,Property,76,Female,Retired,No,No,None,No,None,No,Under Investigation,0,2021-06-20,,
2021_FIR0076,2021,2021-09-23,9:00,Morning,Thursday,9,Rohini PS,Chandni Chowk Lane 4,28.6562,77.23,Metro Station,0,Cybercrime,Cyber,8,Female,Student,Yes,No,None,No,None,No,Open,0,2021-09-25,,
2021_FIR0077,2021,2021-03-26,20:00,Dusk,Friday,3,Dwarka PS,Saket Mall Road,28.5245,77.2066,Road,0,Assault,Violent,16,Male,Student,No,No,None,No,None,Yes,Closed,1,2021-03-28,2021-04-07,10
2021_FIR0078,2021,2021-03-28,20:00,Dusk,Sunday,3,Dwarka PS,Connaught Place Inner Circle,28.6315,77.2167,Residential,0,Cybercrime,Cyber,15,Female,Student,No,No,None,No,None,No,Open,0,2021-03-30,,
2021_FIR0079,2021,2021-07-15,1:00,Midnight,Thursday,7,Saket PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,0,Assault,Violent,78,Female,Retired,No,No,None,No,None,No,Under Investigation,0,2021-07-16,,
2021_FIR0080,2021,2021-01-18,10:00,Morning,Monday,1,Karol Bagh PS,Karol Bagh Main Road,28.6519,77.1909,Residential,1,Robbery,Property,27,Female,Daily Wage Worker,No,No,None,No,None,Yes,Closed,1,2021-01-18,2021-03-17,58
2021_FIR0081,2021,2021-05-02,3:00,Midnight,Sunday,5,Saket PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Cybercrime,Cyber,20,Male,Unemployed,Yes,No,None,No,None,No,Under Investigation,0,2021-05-02,,
2021_FIR0082,2021,2021-01-31,18:00,Evening,Sunday,1,Chandni Chowk PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,0,Theft,Property,49,Female,Shopkeeper,Yes,No,None,No,None,No,Open,0,2021-01-31,,
2021_FIR0083,2021,2021-01-10,14:00,Afternoon,Sunday,1,Chandni Chowk PS,Saket Mall Road,28.5245,77.2066,Residential,0,Burglary,Property,34,Female,Government Employee,Yes,No,None,No,None,Yes,Closed,1,2021-01-12,2021-03-16,63
2021_FIR0084,2021,2021-01-13,11:00,Morning,Wednesday,1,Chandni Chowk PS,Dwarka Sector 12 Road,28.5921,77.046,Metro Station,0,Kidnapping,Violent,71,Male,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-01-13,2021-02-02,20
2021_FIR0085,2021,2021-05-03,5:00,Morning,Monday,5,Chandni Chowk PS,Connaught Place Inner Circle,28.6315,77.2167,Metro Station,0,Burglary,Property,80,Male,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-05-05,,
2021_FIR0086,2021,2021-04-30,10:00,Morning,Friday,4,Rohini PS,Chandni Chowk Lane 4,28.6562,77.23,Residential,0,Assault,Violent,29,Male,Government Employee,No,No,None,No,None,Yes,Closed,1,2021-05-02,2021-05-23,21
2021_FIR0087,2021,2021-04-21,1:00,Midnight,Wednesday,4,Rohini PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Theft,Property,14,Male,Student,Yes,No,None,No,None,Yes,Closed,1,2021-04-22,2021-05-03,11
2021_FIR0088,2021,2021-07-02,21:00,Night,Friday,7,Rohini PS,Dwarka Sector 12 Road,28.5921,77.046,Road,0,Burglary,Property,64,Female,Retired,No,No,None,No,None,Yes,Closed,1,2021-07-04,2021-09-12,70
2021_FIR0089,2021,2021-09-13,5:00,Morning,Monday,9,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Market,1,Robbery,Property,77,Male,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-09-15,2021-10-08,23
2021_FIR0090,2021,2021-10-01,12:00,Afternoon,Friday,10,Saket PS,Dwarka Sector 12 Road,28.5921,77.046,Road,1,Robbery,Property,38,Female,Driver,No,No,None,No,None,Yes,Closed,1,2021-10-01,2021-11-23,53
2021_FIR0091,2021,2021-11-16,9:00,Morning,Tuesday,11,Dwarka PS,Chandni Chowk Lane 4,28.6562,77.23,Market,0,Snatching,Property,7,Female,Student,Yes,No,None,No,None,Yes,Closed,1,2021-11-18,2022-01-31,74
2021_FIR0092,2021,2021-11-28,15:00,Afternoon,Sunday,11,Connaught Place PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Robbery,Property,40,Male,Shopkeeper,No,No,None,No,None,Yes,Closed,1,2021-11-30,2022-01-16,47
2021_FIR0093,2021,2021-08-30,14:00,Afternoon,Monday,8,Dwarka PS,Lajpat Nagar Central Market,28.5677,77.2435,Metro Station,0,Assault,Violent,56,Female,Government Employee,Yes,No,None,No,None,Yes,Closed,1,2021-08-31,2021-11-13,74
2021_FIR0094,2021,2021-01-07,15:00,Afternoon,Thursday,1,Chandni Chowk PS,Rohini Sector 7 Street,28.7324,77.1194,Market,0,Burglary,Property,18,Male,Unemployed,Yes,No,None,No,None,Yes,Closed,1,2021-01-09,2021-01-20,11
2021_FIR0095,2021,2021-11-16,8:00,Morning,Tuesday,11,Lajpat Nagar PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,0,Robbery,Property,65,Male,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-11-18,2022-01-05,48
2021_FIR0096,2021,2021-11-27,11:00,Morning,Saturday,11,Rohini PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,1,Burglary,Property,59,Male,Private Employee,No,No,None,No,None,Yes,Closed,1,2021-11-29,2022-02-05,68
2021_FIR0097,2021,2021-01-27,18:00,Evening,Wednesday,1,Rohini PS,Karol Bagh Main Road,28.6519,77.1909,Road,1,Theft,Property,10,Male,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-01-29,,
2021_FIR0098,2021,2021-05-02,0:00,Midnight,Sunday,5,Lajpat Nagar PS,Dwarka Sector 12 Road,28.5921,77.046,Market,1,Theft,Property,74,Male,Retired,No,No,None,No,None,No,Under Investigation,0,2021-05-03,,
2021_FIR0099,2021,2021-05-26,1:00,Midnight,Wednesday,5,Connaught Place PS,Connaught Place Inner Circle,28.6315,77.2167,Market,0,Burglary,Property,8,Male,Student,Yes,No,None,No,None,Yes,Closed,1,2021-05-28,2021-07-20,53
2021_FIR0100,2021,2021-08-17,22:00,Night,Tuesday,8,Chandni Chowk PS,Karol Bagh Main Road,28.6519,77.1909,Metro Station,0,Burglary,Property,10,Female,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-08-19,,
2021_FIR0101,2021,2021-01-08,3:00,Midnight,Friday,1,Rohini PS,Dwarka Sector 12 Road,28.5921,77.046,Metro Station,1,Kidnapping,Violent,16,Male,Student,Yes,No,None,No,None,Yes,Closed,1,2021-01-08,2021-02-17,40
2021_FIR0102,2021,2021-04-18,21:00,Night,Sunday,4,Saket PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,0,Robbery,Property,73,Female,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-04-18,,
2021_FIR0103,2021,2021-04-13,6:00,Morning,Tuesday,4,Chandni Chowk PS,Dwarka Sector 12 Road,28.5921,77.046,Metro Station,0,Burglary,Property,66,Male,Retired,No,No,None,No,None,No,Open,0,2021-04-14,,
2021_FIR0104,2021,2021-08-30,11:00,Morning,Monday,8,Saket PS,Chandni Chowk Lane 4,28.6562,77.23,Metro Station,0,Snatching,Property,55,Female,Shopkeeper,Yes,No,None,No,None,Yes,Closed,1,2021-08-31,2021-10-04,34
2021_FIR0105,2021,2021-05-19,11:00,Morning,Wednesday,5,Saket PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,1,Robbery,Property,53,Male,Daily Wage Worker,Yes,No,None,No,None,No,Open,0,2021-05-19,,
2021_FIR0106,2021,2021-11-19,6:00,Morning,Friday,11,Lajpat Nagar PS,Dwarka Sector 12 Road,28.5921,77.046,Road,0,Snatching,Property,7,Female,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-11-20,,
2021_FIR0107,2021,2021-07-23,5:00,Morning,Friday,7,Rohini PS,Chandni Chowk Lane 4,28.6562,77.23,Residential,1,Snatching,Property,39,Female,Driver,No,No,None,No,None,No,Under Investigation,0,2021-07-25,,
2021_FIR0108,2021,2021-01-02,14:00,Afternoon,Saturday,1,Connaught Place PS,Karol Bagh Main Road,28.6519,77.1909,Metro Station,0,Snatching,Property,56,Male,Daily Wage Worker,Yes,No,None,No,None,No,Open,0,2021-01-03,,
2021_FIR0109,2021,2021-07-23,12:00,Afternoon,Friday,7,Dwarka PS,Saket Mall Road,28.5245,77.2066,Metro Station,1,Kidnapping,Violent,21,Male,Student,Yes,No,None,No,None,No,Under Investigation,0,2021-07-23,,
